date,exchange_rate
2021-04-08,1117.5
2021-04-09,1121.0
2021-04-10,1121.0
2021-04-11,1121.0
2021-04-12,1125.0
2021-04-13,1124.5
2021-04-14,1115.5
2021-04-15,1116.5
2021-04-16,1117.0
2021-04-17,1117.0
2021-04-18,1117.0
2021-04-19,1115.0
2021-04-20,1114.5
2021-04-21,1119.0
2021-04-22,1117.5
2021-04-23,1117.5
2021-04-24,1117.5
2021-04-25,1117.5
2021-04-26,1111.0
2021-04-27,1112.0
2021-04-28,1114.0
2021-04-29,1108.5
2021-04-30,1117.5
2021-05-01,1117.5
2021-05-02,1117.5
2021-05-03,1123.0
2021-05-04,1126.0
2021-05-05,1126.0
2021-05-06,1124.0
2021-05-07,1120.5
2021-05-08,1120.5
2021-05-09,1120.5
2021-05-10,1113.5
2021-05-11,1119.0
2021-05-12,1125.5
2021-05-13,1133.5
2021-05-14,1129.5
2021-05-15,1129.5
2021-05-16,1129.5
2021-05-17,1138.0
2021-05-18,1129.0
2021-05-19,1129.0
2021-05-20,1132.5
2021-05-21,1127.5
2021-05-22,1127.5
2021-05-23,1127.5
2021-05-24,1126.5
2021-05-25,1123.0
2021-05-26,1117.0
2021-05-27,1117.0
2021-05-28,1115.0
2021-05-29,1115.0
2021-05-30,1115.0
2021-05-31,1108.5
2021-06-01,1109.5
2021-06-02,1113.5
2021-06-03,1114.5
2021-06-04,1116.5
2021-06-05,1116.5
2021-06-06,1116.5
2021-06-07,1112.5
2021-06-08,1116.0
2021-06-09,1113.5
2021-06-10,1116.0
2021-06-11,1116.5
2021-06-12,1116.5
2021-06-13,1116.5
2021-06-14,1119.0
2021-06-15,1118.0
2021-06-16,1118.5
2021-06-17,1134.0
2021-06-18,1132.0
2021-06-19,1132.0
2021-06-20,1132.0
2021-06-21,1133.0
2021-06-22,1135.0
2021-06-23,1136.5
2021-06-24,1133.0
2021-06-25,1128.5
2021-06-26,1128.5
2021-06-27,1128.5
2021-06-28,1131.5
2021-06-29,1131.8
2021-06-30,1128.5
2021-07-01,1133.0
2021-07-02,1136.0
2021-07-03,1136.0
2021-07-04,1136.0
2021-07-05,1131.0
2021-07-06,1134.0
2021-07-07,1137.5
2021-07-08,1149.5
2021-07-09,1148.5
2021-07-10,1148.5
2021-07-11,1148.5
2021-07-12,1148.0
2021-07-13,1145.5
2021-07-14,1150.0
2021-07-15,1142.0
2021-07-16,1141.0
2021-07-17,1141.0
2021-07-18,1141.0
2021-07-19,1152.0
2021-07-20,1149.0
2021-07-21,1154.5
2021-07-22,1149.5
2021-07-23,1151.5
2021-07-24,1151.5
2021-07-25,1151.5
2021-07-26,1155.0
2021-07-27,1154.0
2021-07-28,1154.0
2021-07-29,1146.5
2021-07-30,1152.0
2021-07-31,1152.0
2021-08-01,1152.0
2021-08-02,1151.0
2021-08-03,1148.5
2021-08-04,1144.0
2021-08-05,1143.5
2021-08-06,1146.0
2021-08-07,1146.0
2021-08-08,1146.0
2021-08-09,1146.0
2021-08-10,1151.0
2021-08-11,1157.0
2021-08-12,1163.5
2021-08-13,1169.0
2021-08-14,1169.0
2021-08-15,1169.0
2021-08-16,1169.0
